"","journal","category2","journalimpactfactor","hindex","journalcountry","publisher","coverage","eigenfactorscore","whoregionjournal","unregionjournal","worldbankregionjournal","economicjournal","Genderinequalityindex2019","gender_unknown","gender_numerator","gender_denominator","unknown_denominator","gender_pct","unknown_pct","gender_neat","unknown_neat","AB_num","AB_den","AB_pct","AB_neat","EiC_num","EiC_den","EiC_pct","EiC_neat","EB_num","EB_den","EB_pct","EB_neat","EL_num","EL_den","EL_pct","EL_neat","EC_num","EC_den","EC_pct","EC_neat","WHO_AF_n","WHO_AF_pct","WHO_AF_neat","WHO_AM_n","WHO_AM_pct","WHO_AM_neat","WHO_EM_n","WHO_EM_pct","WHO_EM_neat","WHO_EU_n","WHO_EU_pct","WHO_EU_neat","WHO_SEA_n","WHO_SEA_pct","WHO_SEA_neat","WHO_unknown_n","WHO_unknown_pct","WHO_unknown_neat","WHO_WP_n","WHO_WP_pct","WHO_WP_neat","HIC_n","HIC_pct","HIC_neat","LIC_n","LIC_pct","LIC_neat","LMIC_n","LMIC_pct","LMIC_neat","eco_unknown_n","eco_unknown_pct","eco_unknown_neat","UMIC_n","UMIC_pct","UMIC_neat","WB_EAP_n","WB_EAP_pct","WB_EAP_neat","WB_ECA_n","WB_ECA_pct","WB_ECA_neat","WB_LAC_n","WB_LAC_pct","WB_LAC_neat","WB_MENA_n","WB_MENA_pct","WB_MENA_neat","WB_NA_n","WB_NA_pct","WB_NA_neat","WB_SA_n","WB_SA_pct","WB_SA_neat","WB_SSA_n","WB_SSA_pct","WB_SSA_neat","WB_unknown_n","WB_unknown_pct","WB_unknown_neat","UN_AF_n","UN_AF_pct","UN_AF_neat","UN_AP_n","UN_AP_pct","UN_AP_neat","UN_EE_n","UN_EE_pct","UN_EE_neat","UN_LAC_n","UN_LAC_pct","UN_LAC_neat","UN_unknown_n","UN_unknown_pct","UN_unknown_neat","UN_WEO_n","UN_WEO_pct","UN_WEO_neat"
"24","American Journal of Public Health","PEO Health","6.464",264,"United States","American Public Health Association Inc.","1949-1963, 1971-2020",0.05858,"Americas","Western European and Other","North America","High-income",".204",0,19,40,40,"48%","0%","48% (19)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","19","40","47.5%","47.5% (19)","8","23","34.8%","34.8% (8)","0","1","0.0%","0.0% (0)",NA,NA,NA,"38","95.0%","95.0% (38)",NA,NA,NA,"2","5.0%","5.0% (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"39","97.5%","97.5% (39)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2.5%","2.5% (1)",NA,NA,NA,"2","5.0%","5.0% (2)","1","2.5%","2.5% (1)",NA,NA,NA,"37","92.5%","92.5% (37)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2.5%","2.5% (1)",NA,NA,NA,"39","97.5%","97.5% (39)"
"25","American Journal of Tropical Medicine and Hygiene","PEO Health","2.126",151,"United States","American Society of Tropical Medicine and Hygiene","1945-2020",0.03009,"Americas","Western European and Other","North America","High-income",".204",0,8,29,29,"28%","0%","28% (8)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","8","29","27.6%","27.6% (8)","6","15","40.0%","40.0% (6)",NA,NA,NA,NA,NA,NA,NA,"27","93.1%","93.1% (27)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","6.9%","6.9% (2)","27","93.1%","93.1% (27)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","6.9%","6.9% (2)","2","6.9%","6.9% (2)",NA,NA,NA,"2","6.9%","6.9% (2)",NA,NA,NA,"25","86.2%","86.2% (25)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","6.9%","6.9% (2)",NA,NA,NA,"27","93.1%","93.1% (27)"
"26","Anales del Sistema Sanitario De Navarra","PEO Health",".829",23,"Spain","Gobierno de Navarra","1999-2020",2e-04,"Europe","Western European and Other","Europe and Central Asia","High-income",".07",0,7,13,13,"54%","0%","54% (7)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","7","13","53.8%","53.8% (7)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","100.0%","100.0% (13)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","100.0%","100.0% (13)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","100.0%","100.0% (13)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","100.0%","100.0% (13)"
"27","Analytic Methods in Accident Research","PEO Health","9.179",35,"United Kingdom","Elsevier BV","2014-2020",0.00318,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,2,40,40,"4%","0%","4% (2)","0% (0)","2","33","6.1%","6.1% (2)","0","1","0.0%","0.0% (0)","0","7","0.0%","0.0% (0)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"25","62.5%","62.5% (25)",NA,NA,NA,"6","15.0%","15.0% (6)","1","2.5%","2.5% (1)",NA,NA,NA,"8","20.0%","20.0% (8)","36","90.0%","90.0% (36)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","10.0%","10.0% (4)","9","22.5%","22.5% (9)","5","12.5%","12.5% (5)","1","2.5%","2.5% (1)","1","2.5%","2.5% (1)","24","60.0%","60.0% (24)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","12.5%","12.5% (5)",NA,NA,NA,"1","2.5%","2.5% (1)",NA,NA,NA,"34","85.0%","85.0% (34)"
"28","Annali dell'Istituto Superiore di Sanita","PEO Health","1.37",42,"Italy","Istituto Superiore di Sanita","1965-2020",0.00112,"Europe","Western European and Other","Europe and Central Asia","High-income",".069",0,7,22,22,"32%","0%","32% (7)","0% (0)","5","13","38.5%","38.5% (5)","0","1","0.0%","0.0% (0)","2","9","22.2%","22.2% (2)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"5","22.7%","22.7% (5)",NA,NA,NA,"17","77.3%","77.3% (17)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","100.0%","100.0% (22)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17","77.3%","77.3% (17)",NA,NA,NA,NA,NA,NA,"5","22.7%","22.7% (5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","4.5%","4.5% (1)",NA,NA,NA,NA,NA,NA,"21","95.5%","95.5% (21)"
"29","Annali di Botanica","Environment",".412",18,"Italy","Department of Environmental Biology, University La Sapienza of Rome","1996-2000, 2002-2008, 2011-2020",0.00011,"Europe","Western European and Other","Europe and Central Asia","High-income",".069",0,8,37,37,"22%","0%","22% (8)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","8","37","21.6%","21.6% (8)","3","5","60.0%","60.0% (3)",NA,NA,NA,NA,NA,NA,NA,"1","2.7%","2.7% (1)",NA,NA,NA,"35","94.6%","94.6% (35)",NA,NA,NA,NA,NA,NA,"1","2.7%","2.7% (1)","37","100.0%","100.0% (37)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2.7%","2.7% (1)","35","94.6%","94.6% (35)",NA,NA,NA,NA,NA,NA,"1","2.7%","2.7% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2.7%","2.7% (1)",NA,NA,NA,NA,NA,NA,"36","97.3%","97.3% (36)"
"30","ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE","PEO + Environment",".982",54,"Poland","Institute of Agricultural Medicine","1995-2020",0.00236,"Europe","Eastern European","Europe and Central Asia","High-income",".115",0,2,9,9,"22%","0%","22% (2)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","2","9","22.2%","22.2% (2)","1","6","16.7%","16.7% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","100.0%","100.0% (9)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","100.0%","100.0% (9)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","100.0%","100.0% (9)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","100.0%","100.0% (9)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Annals of Epidemiology","PEO Health","2.573",122,"United States","Elsevier Inc.","1990-2020",0.0101,"Americas","Western European and Other","North America","High-income",".204",0,9,30,30,"30%","0%","30% (9)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","9","30","30.0%","30.0% (9)","5","15","33.3%","33.3% (5)",NA,NA,NA,NA,NA,NA,NA,"25","83.3%","83.3% (25)",NA,NA,NA,"2","6.7%","6.7% (2)",NA,NA,NA,NA,NA,NA,"3","10.0%","10.0% (3)","30","100.0%","100.0% (30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","10.0%","10.0% (3)","1","3.3%","3.3% (1)",NA,NA,NA,"1","3.3%","3.3% (1)","25","83.3%","83.3% (25)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","10.0%","10.0% (3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"27","90.0%","90.0% (27)"
"32","Annals of Global Health","PEO Health","1.192",66,"United States","Levy Library Press","2014-2020",0.00271,"Americas","Western European and Other","North America","High-income",".204",0,14,47,47,"30%","0%","30% (14)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","14","47","29.8%","29.8% (14)","0","4","0.0%","0.0% (0)",NA,NA,NA,NA,"3","6.4%","6.4% (3)","35","74.5%","74.5% (35)","1","2.1%","2.1% (1)","3","6.4%","6.4% (3)","2","4.3%","4.3% (2)",NA,NA,NA,"3","6.4%","6.4% (3)","40","85.1%","85.1% (40)","1","2.1%","2.1% (1)","2","4.3%","4.3% (2)",NA,NA,NA,"4","8.5%","8.5% (4)","4","8.5%","8.5% (4)","2","4.3%","4.3% (2)","2","4.3%","4.3% (2)","2","4.3%","4.3% (2)","33","70.2%","70.2% (33)","1","2.1%","2.1% (1)","3","6.4%","6.4% (3)",NA,NA,NA,"3","6.4%","6.4% (3)","4","8.5%","8.5% (4)",NA,NA,NA,"2","4.3%","4.3% (2)",NA,NA,NA,"38","80.9%","80.9% (38)"
"33","Annals of Human Biology","PEO Health","1.535",57,"United Kingdom","Informa Healthcare","1974-2020",0.00259,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,18,37,37,"48%","0%","48% (18)","0% (0)",NA,NA,NA,NA,"2","3","66.7%","66.7% (2)","18","37","48.6%","48.6% (18)","2","3","66.7%","66.7% (2)",NA,NA,NA,NA,"1","2.7%","2.7% (1)","14","37.8%","37.8% (14)",NA,NA,NA,"19","51.4%","51.4% (19)","1","2.7%","2.7% (1)",NA,NA,NA,"2","5.4%","5.4% (2)","31","83.8%","83.8% (31)",NA,NA,NA,"1","2.7%","2.7% (1)",NA,NA,NA,"5","13.5%","13.5% (5)","2","5.4%","5.4% (2)","19","51.4%","51.4% (19)","1","2.7%","2.7% (1)",NA,NA,NA,"13","35.1%","35.1% (13)","1","2.7%","2.7% (1)","1","2.7%","2.7% (1)",NA,NA,NA,"1","2.7%","2.7% (1)","3","8.1%","8.1% (3)","2","5.4%","5.4% (2)","1","2.7%","2.7% (1)",NA,NA,NA,"30","81.1%","81.1% (30)"
"34","ANNALS OF REGIONAL SCIENCE","Environment","1.75",62,"Germany","Springer Verlag","1967-2020",0.0016,"Europe","Western European and Other","Europe and Central Asia","High-income",".084",0,14,38,38,"36%","0%","36% (14)","0% (0)",NA,NA,NA,NA,"1","3","33.3%","33.3% (1)","14","38","36.8%","36.8% (14)","1","3","33.3%","33.3% (1)",NA,NA,NA,NA,NA,NA,NA,"14","36.8%","36.8% (14)",NA,NA,NA,"13","34.2%","34.2% (13)",NA,NA,NA,NA,NA,NA,"11","28.9%","28.9% (11)","37","97.4%","97.4% (37)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2.6%","2.6% (1)","11","28.9%","28.9% (11)","13","34.2%","34.2% (13)",NA,NA,NA,NA,NA,NA,"14","36.8%","36.8% (14)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","26.3%","26.3% (10)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","73.7%","73.7% (28)"
"35","Annals of Work Exposures and Health","PEO Health","1.96",77,"United Kingdom","Oxford University Press","2017-2020",0.00107,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,7,17,17,"42%","0%","42% (7)","0% (0)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","7","17","41.2%","41.2% (7)","1","1","100.0%","100.0% (1)",NA,NA,NA,NA,NA,NA,NA,"3","17.6%","17.6% (3)",NA,NA,NA,"11","64.7%","64.7% (11)",NA,NA,NA,"1","5.9%","5.9% (1)","2","11.8%","11.8% (2)","16","94.1%","94.1% (16)",NA,NA,NA,NA,NA,NA,"1","5.9%","5.9% (1)",NA,NA,NA,"2","11.8%","11.8% (2)","11","64.7%","64.7% (11)",NA,NA,NA,NA,NA,NA,"3","17.6%","17.6% (3)",NA,NA,NA,NA,NA,NA,"1","5.9%","5.9% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","5.9%","5.9% (1)","16","94.1%","94.1% (16)"
"36","Annual Review of Environment and Resources","Environment","8.065",115,"United States","Annual Reviews Inc.","2003-2019",0.00537,"Americas","Western European and Other","North America","High-income",".204",0,3,9,9,"34%","0%","34% (3)","0% (0)",NA,NA,NA,NA,"0","2","0.0%","0.0% (0)","3","9","33.3%","33.3% (3)","0","2","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"5","55.6%","55.6% (5)",NA,NA,NA,"2","22.2%","22.2% (2)","1","11.1%","11.1% (1)",NA,NA,NA,"1","11.1%","11.1% (1)","7","77.8%","77.8% (7)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","22.2%","22.2% (2)","2","22.2%","22.2% (2)","2","22.2%","22.2% (2)",NA,NA,NA,NA,NA,NA,"5","55.6%","55.6% (5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","22.2%","22.2% (2)","1","11.1%","11.1% (1)",NA,NA,NA,NA,NA,NA,"6","66.7%","66.7% (6)"
"37","Annual Review of Public Health","PEO Health","16.463",144,"United States","Annual Reviews Inc.","1980-2020",0.01284,"Americas","Western European and Other","North America","High-income",".204",0,2,7,7,"28%","0%","28% (2)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","2","7","28.6%","28.6% (2)","0","3","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"6","85.7%","85.7% (6)",NA,NA,NA,"1","14.3%","14.3% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","100.0%","100.0% (7)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","14.3%","14.3% (1)",NA,NA,NA,NA,NA,NA,"6","85.7%","85.7% (6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","100.0%","100.0% (7)"
"38","Annual Review of Resource Economics","Environment","2.745",35,"United States","Annual Reviews Inc.","2010-2019",0.00268,"Americas","Western European and Other","North America","High-income",".204",0,2,10,10,"20%","0%","20% (2)","0% (0)",NA,NA,NA,NA,"0","2","0.0%","0.0% (0)","2","10","20.0%","20.0% (2)","0","2","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"8","80.0%","80.0% (8)",NA,NA,NA,"2","20.0%","20.0% (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","100.0%","100.0% (10)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","20.0%","20.0% (2)",NA,NA,NA,NA,NA,NA,"8","80.0%","80.0% (8)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","100.0%","100.0% (10)"
"39","Antarctic Science","Environment","1.417",68,"United Kingdom","Cambridge University Press","1986-1987, 1989-2020",0.00174,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,4,20,20,"20%","0%","20% (4)","0% (0)","4","17","23.5%","23.5% (4)",NA,NA,NA,NA,"0","3","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,NA,"2","10.0%","10.0% (2)","4","20.0%","20.0% (4)",NA,NA,NA,"10","50.0%","50.0% (10)",NA,NA,NA,NA,NA,NA,"4","20.0%","20.0% (4)","17","85.0%","85.0% (17)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","15.0%","15.0% (3)","4","20.0%","20.0% (4)","10","50.0%","50.0% (10)","1","5.0%","5.0% (1)",NA,NA,NA,"3","15.0%","15.0% (3)",NA,NA,NA,"2","10.0%","10.0% (2)",NA,NA,NA,"2","10.0%","10.0% (2)",NA,NA,NA,NA,NA,NA,"1","5.0%","5.0% (1)",NA,NA,NA,"17","85.0%","85.0% (17)"
"40","Anthropocene","Environment","3.39",33,"United Kingdom","Elsevier BV","2013-2020",0.002,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,18,52,52,"34%","0%","34% (18)","0% (0)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","18","52","34.6%","34.6% (18)","2","6","33.3%","33.3% (2)",NA,NA,NA,NA,"2","3.8%","3.8% (2)","21","40.4%","40.4% (21)",NA,NA,NA,"16","30.8%","30.8% (16)","2","3.8%","3.8% (2)",NA,NA,NA,"11","21.2%","21.2% (11)","42","80.8%","80.8% (42)",NA,NA,NA,"1","1.9%","1.9% (1)",NA,NA,NA,"9","17.3%","17.3% (9)","12","23.1%","23.1% (12)","16","30.8%","30.8% (16)","3","5.8%","5.8% (3)",NA,NA,NA,"18","34.6%","34.6% (18)","1","1.9%","1.9% (1)","2","3.8%","3.8% (2)",NA,NA,NA,"2","3.8%","3.8% (2)","8","15.4%","15.4% (8)","1","1.9%","1.9% (1)","3","5.8%","5.8% (3)",NA,NA,NA,"38","73.1%","73.1% (38)"
"41","Anthropocene Review","Environment","2.971",25,"United States","SAGE Publications Inc.","2014-2020",0.00181,"Americas","Western European and Other","North America","High-income",".204",0,16,61,61,"26%","0%","26% (16)","0% (0)","13","51","25.5%","25.5% (13)","0","1","0.0%","0.0% (0)","3","10","30.0%","30.0% (3)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,"5","8.2%","8.2% (5)","15","24.6%","24.6% (15)",NA,NA,NA,"34","55.7%","55.7% (34)","1","1.6%","1.6% (1)",NA,NA,NA,"6","9.8%","9.8% (6)","51","83.6%","83.6% (51)","2","3.3%","3.3% (2)","2","3.3%","3.3% (2)",NA,NA,NA,"6","9.8%","9.8% (6)","6","9.8%","9.8% (6)","34","55.7%","55.7% (34)","3","4.9%","4.9% (3)",NA,NA,NA,"12","19.7%","19.7% (12)","1","1.6%","1.6% (1)","5","8.2%","8.2% (5)",NA,NA,NA,"5","8.2%","8.2% (5)","2","3.3%","3.3% (2)",NA,NA,NA,"3","4.9%","4.9% (3)",NA,NA,NA,"51","83.6%","83.6% (51)"
"42","Anthropology & Medicine","PEO Health","1.125",31,"United Kingdom","Routledge","1997-2020",0.00058,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,27,65,65,"42%","0%","42% (27)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","27","65","41.5%","41.5% (27)","3","7","42.9%","42.9% (3)",NA,NA,NA,NA,NA,NA,NA,"16","24.6%","24.6% (16)",NA,NA,NA,"43","66.2%","66.2% (43)","3","4.6%","4.6% (3)",NA,NA,NA,"3","4.6%","4.6% (3)","60","92.3%","92.3% (60)",NA,NA,NA,"3","4.6%","4.6% (3)",NA,NA,NA,"2","3.1%","3.1% (2)","3","4.6%","4.6% (3)","41","63.1%","63.1% (41)","1","1.5%","1.5% (1)","2","3.1%","3.1% (2)","15","23.1%","23.1% (15)","3","4.6%","4.6% (3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","6.2%","6.2% (4)",NA,NA,NA,"1","1.5%","1.5% (1)",NA,NA,NA,"60","92.3%","92.3% (60)"
"43","Antimicrobial Resistance and Infection Control","PEO Health","3.594",37,"United Kingdom","BioMed Central Ltd.","2012-2020",0.00651,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,24,55,55,"44%","0%","44% (24)","0% (0)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","24","55","43.6%","43.6% (24)","12","25","48.0%","48.0% (12)",NA,NA,NA,NA,"6","10.9%","10.9% (6)","9","16.4%","16.4% (9)","1","1.8%","1.8% (1)","28","50.9%","50.9% (28)","2","3.6%","3.6% (2)",NA,NA,NA,"9","16.4%","16.4% (9)","41","74.5%","74.5% (41)",NA,NA,NA,"5","9.1%","9.1% (5)",NA,NA,NA,"9","16.4%","16.4% (9)","10","18.2%","18.2% (10)","27","49.1%","49.1% (27)","2","3.6%","3.6% (2)","2","3.6%","3.6% (2)","7","12.7%","12.7% (7)","1","1.8%","1.8% (1)","6","10.9%","10.9% (6)",NA,NA,NA,"7","12.7%","12.7% (7)","7","12.7%","12.7% (7)","1","1.8%","1.8% (1)","2","3.6%","3.6% (2)",NA,NA,NA,"38","69.1%","69.1% (38)"
"44","APPLIED CATALYSIS A-GENERAL","Environment","5.006",214,"Netherlands","Elsevier","1991-2020",0.02392,"Europe","Western European and Other","Europe and Central Asia","High-income",".043",1,4,21,22,"20%","5%","20% (4)","5% (1)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","4","21","19.0%","19.0% (4)","1","9","11.1%","11.1% (1)",NA,NA,NA,NA,NA,NA,NA,"7","31.8%","31.8% (7)",NA,NA,NA,"9","40.9%","40.9% (9)",NA,NA,NA,NA,NA,NA,"6","27.3%","27.3% (6)","17","77.3%","77.3% (17)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","22.7%","22.7% (5)","6","27.3%","27.3% (6)","9","40.9%","40.9% (9)","2","9.1%","9.1% (2)",NA,NA,NA,"5","22.7%","22.7% (5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","27.3%","27.3% (6)","3","13.6%","13.6% (3)","2","9.1%","9.1% (2)",NA,NA,NA,"11","50.0%","50.0% (11)"
"45","APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH","Environment",".712",32,"Hungary","Corvinus University of Budapest","2003, 2005-2020",0.00167,"Europe","Eastern European","Europe and Central Asia","High-income",".233",2,21,72,74,"30%","3%","30% (21)","3% (2)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","21","72","29.2%","29.2% (21)","1","4","25.0%","25.0% (1)",NA,NA,NA,NA,"5","6.8%","6.8% (5)","8","10.8%","10.8% (8)","2","2.7%","2.7% (2)","52","70.3%","70.3% (52)","6","8.1%","8.1% (6)",NA,NA,NA,"1","1.4%","1.4% (1)","49","66.2%","66.2% (49)","1","1.4%","1.4% (1)","7","9.5%","9.5% (7)",NA,NA,NA,"17","23.0%","23.0% (17)","2","2.7%","2.7% (2)","52","70.3%","70.3% (52)","2","2.7%","2.7% (2)","2","2.7%","2.7% (2)","6","8.1%","8.1% (6)","5","6.8%","6.8% (5)","5","6.8%","6.8% (5)",NA,NA,NA,"5","6.8%","6.8% (5)","12","16.2%","16.2% (12)","38","51.4%","51.4% (38)","2","2.7%","2.7% (2)",NA,NA,NA,"17","23.0%","23.0% (17)"
"46","Applied Spatial Analysis and Policy","Environment","1.778",22,"Netherlands","Springer Netherlands","2009-2020",0.00074,"Europe","Western European and Other","Europe and Central Asia","High-income",".043",0,2,29,29,"6%","0%","6% (2)","0% (0)","0","22","0.0%","0.0% (0)","1","3","33.3%","33.3% (1)","2","7","28.6%","28.6% (2)","1","3","33.3%","33.3% (1)",NA,NA,NA,NA,NA,NA,NA,"3","10.3%","10.3% (3)",NA,NA,NA,"15","51.7%","51.7% (15)",NA,NA,NA,NA,NA,NA,"11","37.9%","37.9% (11)","24","82.8%","82.8% (24)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","17.2%","17.2% (5)","11","37.9%","37.9% (11)","15","51.7%","51.7% (15)","1","3.4%","3.4% (1)",NA,NA,NA,"2","6.9%","6.9% (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","20.7%","20.7% (6)",NA,NA,NA,"1","3.4%","3.4% (1)",NA,NA,NA,"22","75.9%","75.9% (22)"
"47","AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS","Environment","2.572",77,"United Kingdom","John Wiley and Sons Ltd","1991-2020",0.00523,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",1,7,44,45,"16%","2%","16% (7)","2% (1)",NA,NA,NA,NA,"0","2","0.0%","0.0% (0)","7","44","15.9%","15.9% (7)","2","6","33.3%","33.3% (2)",NA,NA,NA,NA,"2","4.4%","4.4% (2)","10","22.2%","22.2% (10)",NA,NA,NA,"21","46.7%","46.7% (21)","1","2.2%","2.2% (1)",NA,NA,NA,"11","24.4%","24.4% (11)","36","80.0%","80.0% (36)",NA,NA,NA,"3","6.7%","6.7% (3)",NA,NA,NA,"6","13.3%","13.3% (6)","11","24.4%","24.4% (11)","21","46.7%","46.7% (21)","3","6.7%","6.7% (3)",NA,NA,NA,"7","15.6%","15.6% (7)","1","2.2%","2.2% (1)","2","4.4%","4.4% (2)",NA,NA,NA,"2","4.4%","4.4% (2)","5","11.1%","11.1% (5)","1","2.2%","2.2% (1)","3","6.7%","6.7% (3)",NA,NA,NA,"34","75.6%","75.6% (34)"
"48","AQUATIC ECOSYSTEM HEALTH & MANAGEMENT","Environment",".761",41,"United Kingdom","Taylor and Francis Ltd.","1998-2020",0.00078,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",19,7,28,47,"24%","40%","24% (7)","40% (19)","2","11","18.2%","18.2% (2)","0","1","0.0%","0.0% (0)","5","17","29.4%","29.4% (5)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"27","57.4%","57.4% (27)","3","6.4%","6.4% (3)","11","23.4%","23.4% (11)","1","2.1%","2.1% (1)",NA,NA,NA,"5","10.6%","10.6% (5)","39","83.0%","83.0% (39)",NA,NA,NA,"1","2.1%","2.1% (1)",NA,NA,NA,"7","14.9%","14.9% (7)","5","10.6%","10.6% (5)","11","23.4%","23.4% (11)","1","2.1%","2.1% (1)","3","6.4%","6.4% (3)","26","55.3%","55.3% (26)","1","2.1%","2.1% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","17.0%","17.0% (8)","3","6.4%","6.4% (3)","1","2.1%","2.1% (1)",NA,NA,NA,"35","74.5%","74.5% (35)"
